read_id,quality,length,has_adapter,quality_pass,length_pass,final_output_count
@250F302971012_1_205_1_0_133118_1_17.849751,17.849751,10516,false,true,true,1
@250F302971012_1_246_1_7125_135067_1_17.268139,17.268139,10214,false,true,true,1
@250F302971012_1_138_1_4829_149603_1_20.411509,20.411509,11041,false,true,true,1
@250F302971012_1_81_1_0_153500_1_18.587114,18.587114,10710,false,true,true,1
@250F302971012_1_167_1_0_161833_1_19.356329,19.356329,11105,false,true,true,1
@250F302971012_1_241_2_13492_158727_1_18.439114,18.439114,10514,false,true,true,1
@250F302971012_1_70_3_40730_148527_1_17.483160,17.48316,10166,false,true,true,1
@250F302971012_1_165_2_48341_140637_1_17.319870,17.31987,11188,false,true,true,1
@250F302971012_1_73_2_12125_179094_1_19.336798,19.336798,13737,false,true,true,1
@250F302971012_1_213_1_8989_144500_1_17.728283,17.728283,10029,false,true,true,1
@250F302971012_1_222_2_56069_147158_1_17.010193,17.010193,11087,false,true,true,1
@250F302971012_1_244_3_35493_167517_1_16.445045,16.445045,13251,false,true,true,1
@250F302971012_1_48_3_29988_175030_2_15.708036,15.708036,10925,false,true,true,1
@250F302971012_1_129_2_48502_160041_1_18.553711,18.553711,10438,false,true,true,1
@250F302971012_1_216_4_82678_122917_1_17.098310,17.09831,10015,false,true,true,1
@250F302971012_1_1_3_71371_141269_0_15.007768,15.007768,12105,false,true,true,1
@250F302971012_1_142_2_43192_167132_3_13.016912,13.016912,13633,false,false,true,0
@250F302971012_1_113_4_57190_161118_1_18.332899,18.332899,12502,false,true,true,1
@250F302971012_1_145_3_76133_140062_1_17.191244,17.191244,11184,false,true,true,1
@250F302971012_1_194_2_62060_153500_2_16.878654,16.878654,11643,false,true,true,1
@250F302971012_1_42_2_35740_186112_1_17.066288,17.066288,11934,false,true,true,1
@250F302971012_1_107_2_11107_212921_1_20.995552,20.995552,12602,false,true,true,1
@250F302971012_1_126_3_86983_140000_1_16.192501,16.192501,11769,false,true,true,1
@250F302971012_1_109_4_124655_118910_1_17.544163,17.544163,10011,false,true,true,1
@250F302971012_1_74_3_125170_125444_1_15.940416,15.940416,10660,false,true,true,1
@250F302971012_1_118_3_93870_161051_0_18.160961,18.160961,12242,false,true,true,1
@250F302971012_1_208_3_108797_142671_2_17.522854,17.522854,12233,false,true,true,1
@250F302971012_1_53_4_82409_175681_1_19.216703,19.216703,14355,false,true,true,1
@250F302971012_1_66_3_83694_172385_1_18.897333,18.897333,12674,false,true,true,1
@250F302971012_1_77_4_77894_179336_1_17.953743,17.953743,12768,false,true,true,1
@250F302971012_1_36_2_71839_189500_1_18.837435,18.837435,12352,false,true,true,1
@250F302971012_1_88_2_115915_151035_1_17.462351,17.462351,12493,false,true,true,1
@250F302971012_1_91_8_140401_126023_1_13.498936,13.498936,10765,false,false,true,0
@250F302971012_1_128_4_142862_125481_1_12.143932,12.143932,11198,false,false,true,0
@250F302971012_1_245_4_146018_122065_1_18.410122,18.410122,10284,false,true,true,1
@250F302971012_1_6_3_136275_137559_2_16.915520,16.91552,11017,false,true,true,1
@250F302971012_1_13_3_133398_136933_1_16.561165,16.561165,11746,false,true,true,1
@250F302971012_1_68_2_56794_207500_1_20.607540,20.60754,11718,false,true,true,1
@250F302971012_1_124_3_106771_166324_1_18.518530,18.51853,10656,false,true,true,1
@250F302971012_1_189_3_88763_182152_1_20.483070,20.48307,11759,false,true,true,1
@250F302971012_1_197_6_162553_111434_1_11.355936,11.355936,10138,false,false,true,0
@250F302971012_1_3_3_132518_147328_1_17.221327,17.221327,11754,false,true,true,1
@250F302971012_1_96_2_75566_200916_1_14.063201,14.063201,16689,false,false,true,0
@250F302971012_1_148_5_91795_192944_1_18.612825,18.612825,13078,false,true,true,1
@250F302971012_1_256_6_132351_148041_2_16.874626,16.874626,12351,false,true,true,1
@250F302971012_1_205_3_142893_143923_1_15.959518,15.959518,10150,false,true,true,1
@250F302971012_1_2_6_119181_172862_1_18.076986,18.076986,13792,false,true,true,1
@250F302971012_1_193_2_119449_173100_2_17.220787,17.220787,11584,false,true,true,1
@250F302971012_1_46_2_75162_220691_2_19.392717,19.392717,10141,false,true,true,1
@250F302971012_1_169_4_112056_185000_0_17.665606,17.665606,14900,false,true,true,1
@250F302971012_1_255_6_145691_172202_1_16.144911,16.144911,13583,false,true,true,1
@250F302971012_1_131_5_137486_190069_1_16.448814,16.448814,15225,false,true,true,1
@250F302971012_1_115_6_195430_149235_2_16.796877,16.796877,11819,false,true,true,1
@250F302971012_1_123_11_201854_140000_2_8.379383,8.379383,10109,false,false,true,0
@250F302971012_1_224_2_125647_215076_2_17.650562,17.650562,17804,false,true,true,1
@250F302971012_1_48_4_213119_133159_2_17.812351,17.812351,10471,false,true,true,1
@250F302971012_1_52_8_227812_121119_1_15.890451,15.890451,10237,false,true,true,1
@250F302971012_1_199_4_186233_161773_1_19.183817,19.183817,13012,false,true,true,1
@250F302971012_1_10_3_88042_263981_3_19.314936,19.314936,19803,false,true,true,1
@250F302971012_1_243_1_0_351972_1_18.889431,18.889431,21919,false,true,true,1
@250F302971012_1_249_7_197996_152803_1_14.248421,14.248421,10644,false,false,true,0
@250F302971012_1_25_4_166559_190963_2_15.677805,15.677805,12530,false,true,true,1
@250F302971012_1_203_5_222907_134338_1_18.197834,18.197834,10742,false,true,true,1
@250F302971012_1_14_5_223853_135500_2_16.875389,16.875389,10514,false,true,true,1
@250F302971012_1_37_4_210297_150309_1_17.662695,17.662695,11517,false,true,true,1
@250F302971012_1_24_6_180035_189479_3_19.893362,19.893362,12278,false,true,true,1
@250F302971012_1_164_6_231654_136866_1_16.456467,16.456467,10656,false,true,true,1
@250F302971012_1_125_8_247792_123212_1_18.186029,18.186029,10278,false,true,true,1
@250F302971012_1_213_2_200461_174287_1_17.198807,17.198807,12569,false,true,true,1
@250F302971012_1_61_8_228823_148645_1_16.655914,16.655914,10065,false,true,true,1
@250F302971012_1_82_5_234931_140000_2_17.002695,17.002695,10093,false,true,true,1
@250F302971012_1_110_6_227834_148644_1_16.831007,16.831007,12178,false,true,true,1
@250F302971012_1_223_7_231973_144500_1_15.773458,15.773458,12191,false,true,true,1
@250F302971012_1_70_4_194224_186406_1_20.836090,20.83609,11274,false,true,true,1
@250F302971012_1_80_3_84633_295849_1_15.801511,15.801511,18132,false,true,true,1
@250F302971012_1_155_6_255367_126839_0_16.357088,16.357088,10737,false,true,true,1
@250F302971012_1_175_7_246047_135094_1_16.285759,16.285759,11422,false,true,true,1
@250F302971012_1_231_6_265349_118794_1_18.267012,18.267012,10211,false,true,true,1
@250F302971012_1_96_3_278311_113000_1_12.707281,12.707281,11291,false,false,true,0
@250F302971012_1_162_10_268809_128670_2_15.658689,15.658689,10110,false,true,true,1
@250F302971012_1_30_6_270241_135639_1_16.547581,16.547581,11052,false,true,true,1
@250F302971012_1_150_6_249329_158600_1_17.000217,17.000217,10359,false,true,true,1
@250F302971012_1_212_4_242884_158000_0_19.403320,19.40332,12121,false,true,true,1
@250F302971012_1_214_5_212587_193327_1_16.492416,16.492416,14059,false,true,true,1
@250F302971012_1_90_5_257744_155837_2_19.715954,19.715954,10673,false,true,true,1
@250F302971012_1_137_8_260356_153500_1_17.354731,17.354731,12542,false,true,true,1
@250F302971012_1_143_7_260437_155262_1_18.804749,18.804749,10024,false,true,true,1
@250F302971012_1_144_5_257540_161314_1_18.538525,18.538525,12185,false,true,true,1
@250F302971012_1_42_5_285214_144723_1_17.806536,17.806536,12694,false,true,true,1
@250F302971012_1_207_10_291672_135778_1_17.065874,17.065874,11371,false,true,true,1
@250F302971012_1_53_5_258219_171926_1_19.348909,19.348909,11162,false,true,true,1
@250F302971012_1_1_5_306349_140270_0_18.219673,18.219673,10855,false,true,true,1
@250F302971012_1_4_8_308055_139697_1_16.147348,16.147348,12090,false,true,true,1
@250F302971012_1_64_7_252834_194572_1_17.877377,17.877377,15907,false,true,true,1
@250F302971012_1_74_6_299128_150734_1_18.152498,18.152498,12407,false,true,true,1
@250F302971012_1_36_3_266205_185000_1_17.069834,17.069834,12169,false,true,true,1
@250F302971012_1_178_5_270808_179762_0_10.893601,10.893601,12151,false,false,true,0
@250F302971012_1_187_13_287828_167065_1_16.552284,16.552284,11228,false,true,true,1
@250F302971012_1_104_8_324634_135964_1_18.429663,18.429663,11133,false,true,true,1
@250F302971012_1_129_6_331308_136337_1_18.883234,18.883234,11555,false,true,true,1
@250F302971012_1_45_4_252981_218175_2_18.754215,18.754215,14467,false,true,true,1
@250F302971012_1_13_4_272048_205146_1_20.140881,20.140881,13220,false,true,true,1
@250F302971012_1_156_7_313290_168063_0_18.997566,18.997566,10581,false,true,true,1
@250F302971012_1_195_12_372029_129660_3_16.933369,16.933369,10188,false,true,true,1
@250F302971012_1_139_6_375302_134297_1_14.989123,14.989123,11683,false,false,true,0
@250F302971012_1_217_3_232418_275399_2_17.142715,17.142715,17960,false,true,true,1
@250F302971012_1_173_9_347319_166309_1_19.985620,19.98562,11335,false,true,true,1
@250F302971012_1_12_9_392896_122538_1_17.723595,17.723595,10313,false,true,true,1
@250F302971012_1_62_11_302866_222425_1_15.448152,15.448152,11848,false,true,true,1
@250F302971012_1_67_7_373032_153500_1_8.635887,8.635887,11711,false,false,true,0
@250F302971012_1_105_11_299538_233678_1_19.088022,19.088022,15920,false,true,true,1
@250F302971012_1_174_11_295950_238324_1_17.759403,17.759403,18768,false,true,true,1
@250F302971012_1_8_7_190035_348156_2_17.582495,17.582495,29134,false,true,true,1
@250F302971012_1_10_5_390228_147105_3_15.603213,15.603213,12067,false,true,true,1
@250F302971012_1_71_9_401341_136844_3_16.095215,16.095215,10773,false,true,true,1
@250F302971012_1_142_6_375909_165131_3_20.477888,20.477888,10772,false,true,true,1
@250F302971012_1_1024_6_309425_259362_1_16.422798,16.422798,20902,false,true,true,1
@250F302971012_1_11_7_419476_150732_3_16.470531,16.470531,12114,false,true,true,1
@250F302971012_1_181_9_379918_189500_3_20.694187,20.694187,11747,false,true,true,1
@250F302971012_1_136_10_425148_149000_2_17.773886,17.773886,11061,false,true,true,1
@250F302971012_1_115_10_442574_141886_2_17.987247,17.987247,10558,false,true,true,1
@250F302971012_1_208_10_424792_155552_2_18.636314,18.636314,12735,false,true,true,1
@250F302971012_1_145_12_450869_135971_1_17.401421,17.401421,11098,false,true,true,1
@250F302971012_1_148_8_428339_159370_1_18.212622,18.212622,10982,false,true,true,1
@250F302971012_1_256_11_422955_173876_2_17.495007,17.495007,11844,false,true,true,1
@250F302971012_1_124_5_394559_214053_1_18.079660,18.07966,14287,false,true,true,1
